category,fraction,average_dot_product,variance,second_best_category
Large gardenia,0.04365620736698499,0.32903734,0.00014639646,gardenia
Large lilies,0.08867667121418826,0.31331214,0.00012206298,lilies
Large hydrangeas,0.054570259208731244,0.33353877,0.00011845827,hydrangeas
Large tulips,0.047748976807639835,0.30822346,5.6920733e-05,tulips
Small daisies,0.03137789904502047,0.31077716,0.00010888473,daisies
bougainvillea,0.015006821282401092,0.31660953,0.00023217635,Large bougainvillea
daisies,0.023192360163710776,0.30391335,4.2214113e-05,Small daisies
orchid,0.0068212824010914054,0.30502492,3.0463934e-05,orchids
hibiscus,0.017735334242837655,0.30900273,0.0001480396,Small hibiscus
hibiscuses,0.010914051841746248,0.3028202,0.00016947836,Large hibiscuses
Large hibiscus,0.06275579809004093,0.31841135,9.697417e-05,hibiscus
garden_roses,0.0504774897680764,0.29976112,0.000113770766,Large garden roses
Large peony,0.04638472032742155,0.31436083,0.00038252858,peony
tulips,0.027285129604365622,0.3031451,3.6269426e-05,Large tulips
peonies,0.0286493860845839,0.31441543,8.5274376e-05,Large peonies
orchids,0.054570259208731244,0.31167454,4.5132638e-05,orchid
Large bougainvillea,0.06412005457025921,0.3301987,0.00015972016,bougainvillea
Large hydrangea,0.015006821282401092,0.32802835,0.0002779202,Large hydrangeas
tulip,0.010914051841746248,0.3082085,0.000243105,Large tulip
Small gardenia,0.01637107776261937,0.33284104,0.00011118253,Large gardenia
Small hydrangeas,0.004092769440654843,0.33372557,1.023213e-06,Large hydrangeas
Large daisy,0.03274215552523874,0.3058125,0.00017062823,Small daisy
Large garden roses,0.034106412005457026,0.3036048,0.00015159608,garden_roses
Large peonies,0.017735334242837655,0.31554726,9.297408e-05,Large peony
Large orchid,0.019099590723055934,0.30865243,0.00010988542,orchid
Large gardenias,0.01637107776261937,0.31938645,5.755822e-05,Small gardenias
gardenia,0.017735334242837655,0.3154817,0.00021074369,Small gardenia
Large tulip,0.009549795361527967,0.31355426,8.807863e-05,tulip
Large garden rose,0.01637107776261937,0.30122998,9.702643e-05,garden rose
Small hibiscus,0.005457025920873124,0.31421608,2.874434e-05,hibiscus
Large orchids,0.0068212824010914054,0.3083846,8.680225e-05,orchids
Large daisies,0.020463847203274217,0.3079383,0.0001836141,daisies
Small garden roses,0.001364256480218281,0.3011911,0.0,Large garden roses
bougainvilleas,0.004092769440654843,0.3115264,2.9802322e-08,bougainvillea
Small garden rose,0.004092769440654843,0.2906734,0.00012558699,garden rose
Small gardenias,0.008185538881309686,0.31278157,0.00021558006,Large gardenias
Small bougainvillea,0.004092769440654843,0.31403545,3.3895176e-05,bougainvillea
hydrangeas,0.0068212824010914054,0.3291147,4.477501e-05,Large hydrangeas
Small hydrangea,0.001364256480218281,0.33464876,0.0,hydrangea
Large lily,0.019099590723055934,0.31249598,7.8942096e-05,Large lilies
garden rose,0.001364256480218281,0.30954218,0.0,Large garden rose
hydrangea,0.001364256480218281,0.31637174,0.0,Large hydrangea
Small daisy,0.005457025920873124,0.30976373,7.785857e-06,Large daisy
Large hibiscuses,0.002728512960436562,0.3019675,7.450581e-09,Large hibiscus
Large bougainvilleas,0.0068212824010914054,0.31607506,8.683205e-05,Large bougainvillea
peony,0.004092769440654843,0.3036892,5.9316557e-05,Large peony
Small bougainvilleas,0.0068212824010914054,0.2883124,0.0002672434,Large bougainvilleas
lilies,0.002728512960436562,0.29278052,2.5331974e-06,Large lilies
Small tulip,0.002728512960436562,0.2996847,0.00027298927,tulip
